"Nome do negócio";"Tipo";"Fase";"Responsável";"Criado";"Jornada do cliente";"Client Id B242GA";"Cargo";"Usuário";"Data de inicio";"Tipo de Negócio";"Seguimento";"Sobre CRM assinale uma opção:";"Empresa";"Descrição do Follow up 1";"Descrição do Follow up 2";"Descrição Follow up 3";"Descrição Follow up 4";"Descrição Follow up 5";"Temperatura da Proposta Follow 1";"Temperatura da Proposta Follow 2";"Temperatura da Proposta Follow 3";"Temperatura da Proposta Follow 4";"Temperatura da Proposta Follow 5";"ID";
"Convenção Ifood Brasil";"Vendas";"Follow up 2";"Rafael Bortoloso";"16/03/2026 20:03:34";"";"";"";"";"";"";"";"";"iFood";"Ainda em análise";"Sem retorno em todos os canais";"";"";"";"Frio";"Frio";"";"";"";"25245";
"CASTROLANDA";"Vendas";"Follow up 3";"Rafael Bortoloso";"12/03/2026 19:46:32";"";"";"";"";"";"";"";"";"CASTROLANDA – COOPERATIVA AGROINDUSTRIAL LTDA";"Em análise da Diretoria";"Leo está tentando aprovar o budget para equipe";"Leo está analisando sobre budget";"";"";"Morno";"Morno";"Frio";"";"";"25225";
"Visita Cini";"Vendas";"Follow UP 1";"Rafael Bortoloso";"12/03/2026 19:45:23";"";"";"";"";"";"";"";"";"Cini Indústria de Bebidas";"Anderson falou que estão analisando em camadas. O primeiro passo é passar o vendópolis na convenção. Pediu para aguardar mais um pouco poiis estão analisando";"";"";"";"";"Morno";"";"";"";"";"25223";
"Ouro Fino";"Vendas";"Follow up 3";"Rafael Bortoloso";"12/03/2026 19:22:36";"";"";"";"";"";"";"";"";"Águas Ouro Fino";"João não atende o telefone e nem responde as mensagens. Tentando novas estratégias";"João falou que está em análise do conselho. Ficou de me retornar essa semana ainda.";"Foi um pouco mais agressivo no follow. Mandei e-mail e mensagem - Bom dia João, tudo bem? Vou ser direto. Já se passou mais de um mês desde a proposta, e o cenário que discutimos lá atrás continua exatamente o mesmo: – Time externo produzindo abaixo do potencial – Dependência excessiva do time interno – Dúvidas sobre a liderança comercial – Mercado aberto sem ser capturado Nada disso se resolve sozinho. E aqui entra o ponto principal: Vocês já têm clareza do problema. Já têm uma proposta estruturada para resolver. O que falta agora é decisão. Porque hoje existem só três caminhos possíveis: Avançar agora e começar a corrigir execução ainda neste mês Adiar e continuar perdendo faturamento mês após mês Não fazer e assumir que esse é o nível de performance que a operação vai sustentar O que não dá é ficar no meio. Vou ser transparente com você: Nós estamos organizando a agenda dos próximos ciclos de projetos e esse espaço não fica aberto por muito tempo. Se não avançarmos agora, muito provavelmente esse início vai sair da janela ideal para vocês. Então vamos simplificar:";"";"";"Quente";"Morno";"Frio";"";"";"25215";
"Consultoria de Inside Sales - Fibrasca";"Vendas";"Reunião";"Eryclys Freire";"12/03/2026 08:12:45";"";"";"";"";"";"";"";"";"Fibrasca Química e Têxtil S.A.";"";"";"";"";"";"";"";"";"";"";"25199";
"SICREDI PLANALTO CENTRAL";"Vendas";"Follow UP 1";"Rafael Bortoloso";"10/03/2026 15:03:05";"";"";"";"";"";"";"";"";"SICREDI PLANALTO CENTRAL";"Em análise das propostas enviadas. O Diretor gostou muito da apresentação e está montando a estratégia para as turmas";"";"";"";"";"Morno";"";"";"";"";"25189";
"Programa de Assessores e Power cooperativismo";"Vendas";"Follow up 2";"Rafael Bortoloso";"10/03/2026 14:44:10";"";"";"";"";"";"";"";"";"SICREDI INTEGRAÇÃO DOS ESTADOS RS/SC";"Em análise da Diretoria de Negócios. Estão vendo outras consultorias tambem";"Fran está analisando turmas de estagiários. Ficou de me dar retorno essa semana ainda";"";"";"";"Frio";"Morno";"";"";"";"25187";
"Diagnóstico";"Vendas";"Follow up 3";"Fabiano Silva";"06/03/2026 14:25:49";"";"";"";"";"";"";"";"";"Bellacor Linhas e Fios";"Muito boa tarde André! Como você está? Espero que bem! Teve a oportunidade de analisar a proposta de diagnóstico comercial que eu te mandei?";"Bom dia André! Tudo bem? Quando puder falar, me avisa por favor. Abraços!";"Olá André! Como estão as coisas por aí? Espero que bem! Passei aqui porque organizei um Raio-X Comercial rápido que tenho usado com algumas empresas. Ele leva menos de 10 minutos e dá uma visão bem clara de como está a operação hoje — principalmente em previsibilidade, gestão de carteira e execução do time. Achei que poderia te ajudar a olhar isso com mais clareza também. Segue o link:";"";"";"Morno";"Morno";"Frio";"";"";"25165";
"Consultoria para Representantes";"Vendas";"Follow UP 1";"Fabiano Silva";"03/03/2026 15:20:10";"";"";"";"";"";"";"";"";"CLARUS Technology do Brasil";"Leandro está conversando com eles. Provavelmente irão para a proposta de BPO";"";"";"";"";"Quente";"";"";"";"";"25131";
"Projeto de Treinamento Saint Gobain""";"Vendas";"Conectado";"Eryclys Freire";"03/03/2026 14:27:55";"";"";"";"";"";"";"";"";"Saint Gobain";"";"";"";"";"";"";"";"";"";"";"25125";
"Vendas consultivas Premium 1 turmas 16h";"Vendas";"Follow up 2";"Rafael Bortoloso";"20/02/2026 14:35:16";"";"";"";"";"";"";"";"";"Grupo Servopa";"Em análise interna";"Jorge falou que estão ajustando as propostas para ser apresentada pela Diretoria.";"";"";"";"Morno";"Morno";"";"";"";"25063";
"TIGRE - Projeto Jeito de Vender Tigre";"Vendas";"Follow up 3";"Fabiano Silva";"12/02/2026 13:00:52";"";"";"";"";"";"";"";"";"TIGRE";"Boa tarde meu amigo! Tudo bem com você? Deu tudo certo lá com o NDA? Podemos prosseguir para a análise dos materiais de vocês? bom dia, Fabiano! Tudo joia, e contigo? Deu tudo certo, sim! Estou consolidando aqui as informações e materiais, essa semana, mais tardar no começo da próxima, mando pra vocês obrigado Excelente! Muitíssimo obrigado pelo retorno. Abraços!";"Boa tarde Henrique! Como você está? Meu amigo, você já conseguiu compilar todo o material para nos enviar? bom dia, tudo bem? sim sim mandei na semana passada para a Gabi hoje provavelmente já vou conseguir marcar uma outra rodada com ela pra alinharmos a validação Excelente!!! Fico no aguardo aqui. Abraços e excelente dia pra você!";"Olá Henrique! Como estão as coisas por aí? Espero que tudo bem! Henrique, sabe quando iremos marcar a próxima rodada de conversas? bom dia, meu querido tudo joia e vc? Fabiano, peço desculpas pela morosidade. As coisas atrasaram um pouco aqui, por conta da Feicon essa semana. muita gente viajando e 100% focada para o evento. Na próxima semana eu estarei em Joinville presencial com minha gestora e consigo te passar uma estimativa em cima das novidades que ela alinhou com a gerência e ficou de me passar agradeço a compreensão Imagina meu amigo! Fica tranquilo! Excelente feira aí!!!";"";"";"Morno";"Morno";"Frio";"";"";"24989";
"HTM";"Vendas";"Follow up 5";"Fabiano Silva";"09/02/2026 17:11:41";"";"";"";"";"";"";"";"";"HTM Eletrônica";"Muito bom dia Adriano! Como vocês está? Espero que tudo bem! Aqui é o Fabiano da VendaMais. Quando puder falar, me avisa por favor. Abraços e excelente dia!";"Boa tarde Adriano! Como você está? Espero que bem! Teve a oportunidade de analisar internamente a proposta que te enviei?";"Bom dia Adriano! Tudo bem? Quando puder falar, me avisa por favor. Abraços! - Ele respondeu que estava de férias e tinha voltado hoje. E que iria falar com o pessoal lá. E que faz todo sentido. - Eu respondi: Fala meu amigo! Muito bom dia! Se precisar podemos marcar presencialmente aí e conversamos todos juntos. Fico a sua disposição. Excelente dia pra você!";"Boa tarde Adriano! Tudo bem com você? Voltar de férias deveria ser ao poucos, né...rsrsrs Meu amigo, gostaria de saber se posso dar um pulo aí na empresa de vocês no dia 01/04 (e não é mentira...rs).";"Olá Adriano! Como estão as coisas por aí? Espero que bem! Passei aqui porque organizei um Raio-X Comercial rápido que tenho usado com algumas empresas. Ele leva menos de 10 minutos e dá uma visão bem clara de como está a operação hoje — principalmente em previsibilidade, gestão de carteira e execução do time. Achei que poderia te ajudar a olhar isso com mais clareza também. Segue o link:";"Morno";"Morno";"Frio";"Morno";"Frio";"24891";
"Projeto de Treinamento - Ferreira Costa Home Center";"Vendas";"Follow up 2";"Eryclys Freire";"05/02/2026 19:12:52";"";"";"";"";"";"";"";"";"Home Center Ferreira Costa";"""Nós ainda não tivemos oportunidade de escalar ainda a proposta porque a sócia, né, ela estava de... tirou a semana, né, do Carnaval e ficou ausente. Então, essa semana que nós vamos trabalhar em cima disso, tá bom? Beleza? Forte abraço.""";"Tive resposta do Robson, ele disse que devido ao fechamento não conseguiu apresentar para a Diretoria o projeto, mas a reunião de apresentação está agenda para o dia 04.03 pela manhã. Falou que já preparou tudo e deixou bem organizado para apresentação e que assim espera aprovação de orçamento da diretoria para dar andamento ao projeto.";"";"";"";"Quente";"Quente";"";"";"";"24765";
"GT7 - Grupo Cartão de TODOS - Treinamento";"Vendas";"Follow up 5";"Fabiano Silva";"19/01/2026 11:36:04";"";"";"";"";"";"";"";"";"Cartao De Todos";"Falei com a Lígia, pois a Nathália está de férias. Ela me disse que terão um fórum interno para discutirem as empresas que orçaram na quinta-feira, 12/2 e pediu para eu retornar após o carnaval";"Lígia informou que após auditoria interna ficamos entre as 2 empresas finalistas. Ligia irá encaminhar um formulário para ambas para terem maior certeza da entrega para terem uma definição final";"Reunião realizada para apresentar proposta final e tirar dúvidas";"Olá Fabiano, tudo bem? Só para o seu acompanhamento, ainda estamos na etapa final de análise das propostas e já caminhando para os finalmente. Nossa expectativa é que na próxima semana consigamos dar um posicionamento mais concreto. Obrigado pela paciência e seguimos em contato. Fala Igor! Tudo bem e você? Eu que agradeço o seu feedback e seu profissionalismo. Hoje em dia poucas empresas se preocupam de dar algum feedback. Conte comigo para o que precisar. Abraços!";"Muito boa tarde Igor! Como estão as coisas por aí? Espero que tudo bem! Sabe me dizer como está o andamento da proposta internamente? Fico no aguardo. Abraços! Olá, Fabiano! Boa tarde, tudo bem? Sim esta caminhando, a cada semana vamos apresentando a proposta para uma área da empresa, são algumas conquistas que precisamos ir realizando. mas estamos nos finalmentes. Agr é coletar a aprovação da presidência. Muito obrigado pelo apoio e prontidão até aqui! abs Eu que agradeço meu amigo! Precisando de qualquer coisa me avisa. Abraços!";"Morno";"Quente";"Morno";"Quente";"Quente";"24503";
"Aceleração Comercial Móveis Albatroz";"Vendas";"Follow up 3";"Eryclys Freire";"12/01/2026 18:14:06";"";"";"";"";"";"";"";"";"PALUDETTO & CIA LTDA - Móveis Albatroz";"Eryclys, boa tarde! Inicialmente, gostaríamos de agradecer o envio da proposta e apresentação do trabalho que a Venda Mais proporciona ao mercado, foi importante e muito relevante para nós. Pensamos sobre o que a consultoria tem a nos agregar, e momento atual da nossa empresa. Elaboramos alguns tópicos para que possam estruturar uma nova proposta, parte deles já foram apresentados, mas acreditamos que seja importante o alinhamento das estratégias de uma possível implantação de consultoria comercial. São eles: Imersão Estratégica e Diagnóstico Ativo – Levantamento, abordagem, entrevistas e outros – buscando informações time comercial interno e outros departamentos que têm sinergia diária para conquista dos objetivos comerciais (logística, faturamento, SAC e outros). Também buscar informações do time externo, consultores/representantes, para termos uma visão deles sobre nossa empresa e estratégia. Logicamente que todas as demais estruturas e ferramentas descritas na proposta permanecem válidas e necessárias. Redesenho Comercial e Planejamento estratégico – com foco na equipe interna. Neste momento consultores/representantes receberiam o mínimo necessário de informações ou ferramentas. Execução Dirigida e Aceleração Comercial - com foco na equipe interna. Neste momento consultores/representantes receberiam o mínimo necessário de informações ou ferramentas. Consolidação e Sustentação Período dessas fases devem compreender 9 meses de consultoria. Entendemos a importância de alinhamento da equipe interna com a externa, porém acreditamos que novos processos e ferramentas devem estar muito sólidos na cultura interna do nosso time, replicar para equipe externa seria fase posterior a ser discutida e avaliada. Aguardo.";"Entrei em contato novamente com o Leandro para marcar a reunião de fechamento da proposta com os seus sócios. Eles estavam em feira antes do carnaval e o combinado era essa reunião acontecer agora pós carnaval. Ele tem me retornado os contatos, mas estou tentando agenda para ainda essa semana entre dia 19 e 20 de fevereiro.";"Apresentação de Proposta para todos os sócios da empresa.";"";"";"Quente";"Quente";"Quente";"";"";"24263";
"Necessidades 2026";"Vendas";"Conectado";"Rafael Bortoloso";"03/11/2025 14:31:39";"";"";"";"";"";"";"";"";"Acomac";"";"";"";"";"";"";"";"";"";"";"23611";
"Power Investimentos 28h";"Vendas";"Negociação";"Rafael Bortoloso";"21/10/2025 10:11:14";"";"";"";"";"";"";"";"";"VIACERTA";"Raqueli, informou que a proposta ainda esta em processo de analise, marcamos um novo FUP para as proximas semanas.";"Raqueli esta em processo de avaliação das proposta, em dezembro teremos uma nova conversa para fechamento.";"";"";"";"";"";"";"";"";"23445";
